Key;Label
Sample-1;0
Sample-2;1
Sample-3;1
Sample-4;1
Sample-5;1
Sample-6;1
Sample-7;0
Sample-8;0
Sample-9;1
Sample-10;1
Sample-11;0
Sample-12;0
Sample-13;1
Sample-14;0
Sample-15;1
Sample-16;0
Sample-17;1
Sample-18;1
Sample-19;1
Sample-20;1
Sample-21;0
Sample-22;1
Sample-23;1
Sample-24;0
Sample-25;0
Sample-26;1
Sample-27;0
Sample-28;1
Sample-29;1
Sample-30;1
Sample-31;1
Sample-32;1
Sample-33;1
Sample-34;1
Sample-35;1
Sample-36;0
Sample-37;1
Sample-38;1
Sample-39;0
Sample-40;1
Sample-41;0
Sample-42;1
Sample-43;0
Sample-44;1
Sample-45;0
Sample-46;0
Sample-47;1
Sample-48;1
Sample-49;0
Sample-50;1
Sample-51;1
Sample-52;1
Sample-53;1
Sample-54;1
Sample-55;1
Sample-56;0
Sample-57;1
Sample-58;1
Sample-59;0
Sample-60;1
Sample-61;1
Sample-62;1
Sample-63;1
Sample-64;1
Sample-65;1
Sample-66;1
Sample-67;1
Sample-68;1
Sample-69;0
Sample-70;1
Sample-71;1
Sample-72;1
Sample-73;1
Sample-74;1
Sample-75;1
Sample-76;1
Sample-77;1
Sample-78;0
Sample-79;1
Sample-80;1
Sample-81;1
Sample-82;1
Sample-83;1
Sample-84;1
Sample-85;1
Sample-86;0
Sample-87;1
Sample-88;1
Sample-89;1
Sample-90;1
Sample-91;1
Sample-92;1
Sample-93;1
Sample-94;1
Sample-95;1
Sample-96;0
Sample-97;1
Sample-98;1
Sample-99;1
Sample-100;1
Sample-101;1
Sample-102;1
Sample-103;1
Sample-104;1
Sample-105;0
Sample-106;1
Sample-107;0
Sample-108;0
Sample-109;1
Sample-110;1
Sample-111;0
Sample-112;1
Sample-113;0
Sample-114;1
Sample-115;0
Sample-116;1
Sample-117;1
Sample-118;1
Sample-119;1
Sample-120;0
Sample-121;0
Sample-122;1
Sample-123;1
Sample-124;0
Sample-125;1
Sample-126;1
Sample-127;0
Sample-128;0
Sample-129;0
Sample-130;1
Sample-131;1
Sample-132;1
Sample-133;0
Sample-134;1
Sample-135;1
Sample-136;0
Sample-137;1
Sample-138;1
Sample-139;0
Sample-140;1
Sample-141;1
Sample-142;0
Sample-143;1
Sample-144;1
Sample-145;1
Sample-146;1
Sample-147;1
Sample-148;1
Sample-149;1
Sample-150;1
Sample-151;0
Sample-152;1
Sample-153;1
Sample-154;0
Sample-155;1
Sample-156;1
