Key;Label
Sample-1;1
Sample-2;1
Sample-3;1
Sample-4;1
Sample-5;0
Sample-6;1
Sample-7;1
Sample-8;1
Sample-9;0
Sample-10;1
Sample-11;1
Sample-12;1
Sample-13;0
Sample-14;1
Sample-15;0
Sample-16;1
Sample-17;1
Sample-18;1
Sample-19;1
Sample-20;1
Sample-21;1
Sample-22;1
Sample-23;0
Sample-24;1
Sample-25;1
Sample-26;1
Sample-27;1
Sample-28;0
Sample-29;1
Sample-30;1
Sample-31;0
Sample-32;0
Sample-33;0
Sample-34;1
Sample-35;1
Sample-36;1
Sample-37;1
Sample-38;1
Sample-39;1
Sample-40;1
Sample-41;1
Sample-42;1
Sample-43;1
Sample-44;1
Sample-45;1
Sample-46;0
Sample-47;1
Sample-48;1
Sample-49;1
Sample-50;0
Sample-51;1
Sample-52;0
Sample-53;0
Sample-54;1
Sample-55;1
Sample-56;0
Sample-57;1
Sample-58;1
Sample-59;0
Sample-60;1
Sample-61;1
Sample-62;1
Sample-63;1
Sample-64;1
Sample-65;0
Sample-66;1
Sample-67;0
Sample-68;1
Sample-69;1
Sample-70;1
Sample-71;1
Sample-72;1
Sample-73;0
Sample-74;1
Sample-75;0
Sample-76;1
Sample-77;1
Sample-78;1
Sample-79;1
Sample-80;1
Sample-81;1
Sample-82;1
Sample-83;1
Sample-84;1
Sample-85;1
Sample-86;0
Sample-87;1
Sample-88;1
Sample-89;1
Sample-90;1
Sample-91;1
Sample-92;1
Sample-93;1
Sample-94;1
Sample-95;1
Sample-96;0
Sample-97;1
Sample-98;1
Sample-99;0
Sample-100;0
Sample-101;1
Sample-102;1
Sample-103;1
Sample-104;0
Sample-105;1
Sample-106;1
Sample-107;1
Sample-108;1
Sample-109;1
Sample-110;1
Sample-111;1
Sample-112;1
Sample-113;1
Sample-114;1
Sample-115;1
Sample-116;0
Sample-117;1
Sample-118;1
Sample-119;0
Sample-120;1
Sample-121;1
Sample-122;1
Sample-123;0
Sample-124;1
Sample-125;1
Sample-126;1
Sample-127;1
Sample-128;1
Sample-129;1
Sample-130;1
Sample-131;1
Sample-132;1
Sample-133;0
Sample-134;1
Sample-135;1
Sample-136;1
Sample-137;1
Sample-138;1
Sample-139;0
Sample-140;0
Sample-141;1
Sample-142;1
Sample-143;0
Sample-144;1
Sample-145;0
Sample-146;1
Sample-147;1
Sample-148;1
Sample-149;1
Sample-150;0
Sample-151;1
Sample-152;1
Sample-153;1
Sample-154;1
Sample-155;1
Sample-156;1
Sample-157;0
Sample-158;1
Sample-159;0
Sample-160;1
Sample-161;1
Sample-162;1
Sample-163;1
Sample-164;0
Sample-165;0
Sample-166;1
Sample-167;0
Sample-168;1
Sample-169;1
Sample-170;1
Sample-171;0
Sample-172;1
Sample-173;1
Sample-174;0
Sample-175;0
Sample-176;1
Sample-177;1
Sample-178;1
Sample-179;1
