Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
DLBCL-1H-S1;92.85714285714286;66.66666666666666;56.52173913043478;95.23809523809523;75;79.76190476190477;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S10;85.71428571428571;60;50;90;68.18181818181817;72.85714285714285;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S100;50;70;43.75;75;63.63636363636363;60;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S101;57.14285714285714;73.33333333333333;50;78.57142857142857;68.18181818181817;65.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S102;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S103;42.857142857142854;86.66666666666667;60;76.47058823529412;72.72727272727273;64.76190476190476;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S104;50;86.66666666666667;63.63636363636363;78.78787878787878;75;68.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S105;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S106;92.85714285714286;63.33333333333333;54.166666666666664;95;72.72727272727273;78.0952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S107;71.42857142857143;63.33333333333333;47.61904761904761;82.6086956521739;65.9090909090909;67.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S108;85.71428571428571;46.666666666666664;42.857142857142854;87.5;59.09090909090909;66.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S109;28.57142857142857;76.66666666666667;36.36363636363637;69.6969696969697;61.36363636363637;52.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S11;78.57142857142857;56.666666666666664;45.83333333333333;85;63.63636363636363;67.61904761904762;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S110;85.71428571428571;66.66666666666666;54.54545454545454;90.9090909090909;72.72727272727273;76.19047619047619;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S111;78.57142857142857;60;47.82608695652174;85.71428571428571;65.9090909090909;69.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S112;78.57142857142857;50;42.30769230769231;83.33333333333334;59.09090909090909;64.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S113;100;56.666666666666664;51.85185185185185;100;70.45454545454545;78.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S114;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S115;57.14285714285714;80;57.14285714285714;80;72.72727272727273;68.57142857142857;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S116;50;70;43.75;75;63.63636363636363;60;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S117;57.14285714285714;73.33333333333333;50;78.57142857142857;68.18181818181817;65.23809523809523;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S118;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S119;42.857142857142854;86.66666666666667;60;76.47058823529412;72.72727272727273;64.76190476190476;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S12;85.71428571428571;56.666666666666664;48;89.47368421052632;65.9090909090909;71.19047619047618;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S120;50;86.66666666666667;63.63636363636363;78.78787878787878;75;68.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S121;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S122;92.85714285714286;63.33333333333333;54.166666666666664;95;72.72727272727273;78.0952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-1H-S123;71.42857142857143;63.33333333333333;47.61904761904761;82.6086956521739;65.9090909090909;67.38095238095238;0;0;0;0;0;0;0;0;0;0;0;0
