Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
DLBCL-3H-Hinton-S1;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S10;85.71428571428571;63.33333333333333;52.17391304347826;90.47619047619048;70.45454545454545;74.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S100;78.57142857142857;53.333333333333336;44;84.21052631578947;61.36363636363637;65.95238095238095;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S101;42.857142857142854;53.333333333333336;30;66.66666666666666;50;48.09523809523809;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S102;92.85714285714286;70;59.09090909090909;95.45454545454545;77.27272727272727;81.42857142857143;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S103;64.28571428571429;70;50;80.76923076923077;68.18181818181817;67.14285714285715;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S104;50;86.66666666666667;63.63636363636363;78.78787878787878;75;68.33333333333333;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S105;85.71428571428571;73.33333333333333;60;91.66666666666666;77.27272727272727;79.52380952380952;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S106;92.85714285714286;63.33333333333333;54.166666666666664;95;72.72727272727273;78.0952380952381;0;0;0;0;0;0;0;0;0;0;0;0
DLBCL-3H-Hinton-S107;78.57142857142857;60;47.82608695652174;85.71428571428571;65.9090909090909;69.28571428571428;0;0;0;0;0;0;0;0;0;0;0;0
