Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
HECKTOR-1H-S1;47.27272727272727;89.47368421052632;92.85714285714286;36.95652173913043;58.108108108108105;68.37320574162679;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S10;40;100;100;36.53846153846153;55.4054054054054;70;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S100;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S101;50.90909090909091;100;100;41.30434782608695;63.51351351351351;75.45454545454545;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S102;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S103;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S104;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S105;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S106;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S107;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S108;38.18181818181819;94.73684210526315;95.45454545454545;34.61538461538461;52.702702702702695;66.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S109;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S11;60;89.47368421052632;94.28571428571428;43.58974358974359;67.56756756756756;74.73684210526315;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S110;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S111;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S112;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S113;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S114;58.18181818181818;78.94736842105263;88.88888888888889;39.473684210526315;63.51351351351351;68.56459330143541;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S115;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S116;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S117;50.90909090909091;100;100;41.30434782608695;63.51351351351351;75.45454545454545;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S118;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S119;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S12;23.636363636363637;100;100;31.147540983606557;43.24324324324324;61.81818181818181;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S120;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-1H-S121;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
