Keys;2H-Block-S1;2H-Block-S2;2H-Block-S3;2H-Block-S4;2H-Block-S5;2H-Block-S6;2H-Block-S7;2H-Block-S8;2H-Block-S9;2H-Block-S10;2H-Block-S11;2H-Block-S12;2H-Block-S13;2H-Block-S14;2H-Block-S15;2H-Block-S16;2H-Block-S17;2H-Block-S18;2H-Block-S19;2H-Block-S20;2H-Block-S21;2H-Block-S22;2H-Block-S23;2H-Block-S24;2H-Block-S25;2H-Block-S26;2H-Block-S27;2H-Block-S28;2H-Block-S29;2H-Block-S30;2H-Block-S31;2H-Block-S32;2H-Block-S33;2H-Block-S34;2H-Block-S35;2H-Block-S36;2H-Block-S37;2H-Block-S38;2H-Block-S39;2H-Block-S40;2H-Block-S41;2H-Block-S42;2H-Block-S43;2H-Block-S44;2H-Block-S45;2H-Block-S46;2H-Block-S47;2H-Block-S48;2H-Block-S49;2H-Block-S50;2H-Block-S51;2H-Block-S52;2H-Block-S53;2H-Block-S54;2H-Block-S55;2H-Block-S56;2H-Block-S57;2H-Block-S58;2H-Block-S59;2H-Block-S60;2H-Block-S61;2H-Block-S62;2H-Block-S63;2H-Block-S64;2H-Block-S65;2H-Block-S66;2H-Block-S67;2H-Block-S68;2H-Block-S69;2H-Block-S70;2H-Block-S71;2H-Block-S72;2H-Block-S73;2H-Block-S74;2H-Block-S75;2H-Block-S76;2H-Block-S77;2H-Block-S78;2H-Block-S79;2H-Block-S80;2H-Block-S81;2H-Block-S82;2H-Block-S83;2H-Block-S84;2H-Block-S85;2H-Block-S86;2H-Block-S87;2H-Block-S88;2H-Block-S89;2H-Block-S90;2H-Block-S91;2H-Block-S92;2H-Block-S93;2H-Block-S94;2H-Block-S95;2H-Block-S96;2H-Block-S97;2H-Block-S98;2H-Block-S99;2H-Block-S100;2H-Block-S101;2H-Block-S102;2H-Block-S103;2H-Block-S104;2H-Block-S105;2H-Block-S106;2H-Block-S107;2H-Block-S108;2H-Block-S109;2H-Block-S110;2H-Block-S111;2H-Block-S112;2H-Block-S113;2H-Block-S114;2H-Block-S115;2H-Block-S116;2H-Block-S117;2H-Block-S118;2H-Block-S119;2H-Block-S120;2H-Block-S121;2H-Block-S122;2H-Block-S123;2H-Block-S124;2H-Block-S125;2H-Block-S126;2H-Block-S127;2H-Block-S128
Data;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR;HECKTOR
Model/Layers/Input/ActionType;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu
Model/Layers/Input/DistanceType;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst
Model/Layers/Input/Geometry;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean
Model/Layers/Input/NeuronCount;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Model/Layers/Hidden/NeuronCount;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72;72,72
Model/Layers/Hidden/ActionType;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu
Model/Layers/Hidden/DistanceType;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst
Model/Layers/Hidden/Geometry;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean
Model/Layers/Hidden/GroupCount;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
