Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
HECKTOR-2H-Block-S1;54.54545454545454;94.73684210526315;96.7741935483871;41.86046511627907;64.86486486486487;74.64114832535884;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S10;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S100;32.72727272727273;94.73684210526315;94.73684210526315;32.72727272727273;48.64864864864865;63.73205741626794;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S101;74.54545454545455;52.63157894736842;82;41.66666666666667;68.91891891891892;63.588516746411486;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S102;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S103;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S104;32.72727272727273;57.89473684210527;69.23076923076923;22.916666666666664;39.189189189189186;45.311004784689;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S105;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S106;38.18181818181819;100;100;35.84905660377358;54.054054054054056;69.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S107;52.72727272727272;100;100;42.22222222222222;64.86486486486487;76.36363636363637;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S108;45.45454545454545;94.73684210526315;96.15384615384616;37.5;58.108108108108105;70.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S109;67.27272727272727;47.368421052631575;78.72340425531915;33.33333333333333;62.16216216216216;57.32057416267943;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S11;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S110;34.54545454545455;73.68421052631578;79.16666666666666;28.000000000000004;44.5945945945946;54.11483253588516;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S111;58.18181818181818;31.57894736842105;71.11111111111111;20.689655172413794;51.35135135135135;44.880382775119614;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S112;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S113;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S114;54.54545454545454;94.73684210526315;96.7741935483871;41.86046511627907;64.86486486486487;74.64114832535884;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S115;30.909090909090907;89.47368421052632;89.47368421052632;30.909090909090907;45.94594594594595;60.19138755980862;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S116;32.72727272727273;94.73684210526315;94.73684210526315;32.72727272727273;48.64864864864865;63.73205741626794;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S117;74.54545454545455;52.63157894736842;82;41.66666666666667;68.91891891891892;63.588516746411486;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S118;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S119;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S12;45.45454545454545;89.47368421052632;92.5925925925926;36.17021276595745;56.75675675675676;67.46411483253588;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S120;32.72727272727273;57.89473684210527;69.23076923076923;22.916666666666664;39.189189189189186;45.311004784689;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S121;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S122;38.18181818181819;100;100;35.84905660377358;54.054054054054056;69.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S123;52.72727272727272;100;100;42.22222222222222;64.86486486486487;76.36363636363637;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S124;45.45454545454545;94.73684210526315;96.15384615384616;37.5;58.108108108108105;70.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S125;67.27272727272727;47.368421052631575;78.72340425531915;33.33333333333333;62.16216216216216;57.32057416267943;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S126;34.54545454545455;73.68421052631578;79.16666666666666;28.000000000000004;44.5945945945946;54.11483253588516;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S127;58.18181818181818;31.57894736842105;71.11111111111111;20.689655172413794;51.35135135135135;44.880382775119614;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S128;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S13;58.18181818181818;21.052631578947366;68.08510638297872;14.814814814814813;48.64864864864865;39.61722488038277;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S14;80;52.63157894736842;83.01886792452831;47.61904761904761;72.97297297297297;66.31578947368422;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S15;52.72727272727272;84.21052631578947;90.625;38.095238095238095;60.810810810810814;68.4688995215311;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S16;25.454545454545453;94.73684210526315;93.33333333333333;30.508474576271187;43.24324324324324;60.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S17;54.54545454545454;94.73684210526315;96.7741935483871;41.86046511627907;64.86486486486487;74.64114832535884;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S18;43.63636363636363;100;100;38;58.108108108108105;71.81818181818181;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S19;23.636363636363637;94.73684210526315;92.85714285714286;30;41.891891891891895;59.186602870813395;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S2;43.63636363636363;100;100;38;58.108108108108105;71.81818181818181;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S20;47.27272727272727;100;100;39.58333333333333;60.810810810810814;73.63636363636363;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S21;54.54545454545454;89.47368421052632;93.75;40.476190476190474;63.51351351351351;72.00956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S22;25.454545454545453;73.68421052631578;73.68421052631578;25.454545454545453;37.83783783783784;49.56937799043062;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S23;50.90909090909091;89.47368421052632;93.33333333333333;38.63636363636363;60.810810810810814;70.1913875598086;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S24;49.09090909090909;94.73684210526315;96.42857142857143;39.130434782608695;60.810810810810814;71.91387559808612;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S25;52.72727272727272;94.73684210526315;96.66666666666667;40.909090909090914;63.51351351351351;73.73205741626793;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S26;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S27;56.36363636363636;94.73684210526315;96.875;42.857142857142854;66.21621621621621;75.55023923444976;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S28;45.45454545454545;89.47368421052632;92.5925925925926;36.17021276595745;56.75675675675676;67.46411483253588;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S29;58.18181818181818;21.052631578947366;68.08510638297872;14.814814814814813;48.64864864864865;39.61722488038277;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S3;23.636363636363637;94.73684210526315;92.85714285714286;30;41.891891891891895;59.186602870813395;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S30;80;52.63157894736842;83.01886792452831;47.61904761904761;72.97297297297297;66.31578947368422;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S31;52.72727272727272;84.21052631578947;90.625;38.095238095238095;60.810810810810814;68.4688995215311;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S32;25.454545454545453;94.73684210526315;93.33333333333333;30.508474576271187;43.24324324324324;60.0956937799043;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S33;50.90909090909091;94.73684210526315;96.55172413793103;40;62.16216216216216;72.82296650717703;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Block-S34;52.72727272727272;100;100;42.22222222222222;64.86486486486487;76.36363636363637;0;0;0;0;0;0;0;0;0;0;0;0
