Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
HECKTOR-2H-Hinton-S1;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S10;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S100;49.09090909090909;94.73684210526315;96.42857142857143;39.130434782608695;60.810810810810814;71.91387559808612;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S101;45.45454545454545;100;100;38.775510204081634;59.45945945945946;72.72727272727273;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S102;74.54545454545455;36.84210526315789;77.35849056603774;33.33333333333333;64.86486486486487;55.69377990430622;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S103;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S104;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S105;40;89.47368421052632;91.66666666666666;34;52.702702702702695;64.73684210526316;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S106;50.90909090909091;89.47368421052632;93.33333333333333;38.63636363636363;60.810810810810814;70.1913875598086;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S107;41.81818181818181;84.21052631578947;88.46153846153845;33.33333333333333;52.702702702702695;63.014354066985646;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S108;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S109;76.36363636363637;68.42105263157895;87.5;50;74.32432432432432;72.39234449760765;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S11;58.18181818181818;94.73684210526315;96.96969696969697;43.90243902439025;67.56756756756756;76.45933014354067;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S110;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S111;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S112;87.27272727272727;0;71.64179104477611;0;64.86486486486487;43.63636363636363;0;0;0;0;0;0;0;NA;0;NA;0;0
HECKTOR-2H-Hinton-S113;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S114;56.36363636363636;78.94736842105263;88.57142857142857;38.46153846153847;62.16216216216216;67.6555023923445;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S115;25.454545454545453;100;100;31.666666666666664;44.5945945945946;62.72727272727272;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S116;49.09090909090909;94.73684210526315;96.42857142857143;39.130434782608695;60.810810810810814;71.91387559808612;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S117;45.45454545454545;100;100;38.775510204081634;59.45945945945946;72.72727272727273;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S118;74.54545454545455;36.84210526315789;77.35849056603774;33.33333333333333;64.86486486486487;55.69377990430622;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S119;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S12;60;94.73684210526315;97.05882352941177;45;68.91891891891892;77.36842105263158;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S120;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S121;40;89.47368421052632;91.66666666666666;34;52.702702702702695;64.73684210526316;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S122;50.90909090909091;89.47368421052632;93.33333333333333;38.63636363636363;60.810810810810814;70.1913875598086;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S123;41.81818181818181;84.21052631578947;88.46153846153845;33.33333333333333;52.702702702702695;63.014354066985646;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S124;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S125;76.36363636363637;68.42105263157895;87.5;50;74.32432432432432;72.39234449760765;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S126;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S127;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S128;87.27272727272727;0;71.64179104477611;0;64.86486486486487;43.63636363636363;0;0;0;0;0;0;0;NA;0;NA;0;0
HECKTOR-2H-Hinton-S13;54.54545454545454;100;100;43.18181818181818;66.21621621621621;77.27272727272727;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S14;56.36363636363636;100;100;44.18604651162791;67.56756756756756;78.18181818181817;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S15;56.36363636363636;89.47368421052632;93.93939393939394;41.46341463414634;64.86486486486487;72.91866028708134;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S16;58.18181818181818;100;100;45.23809523809524;68.91891891891892;79.0909090909091;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S17;41.81818181818181;94.73684210526315;95.83333333333334;36;55.4054054054054;68.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S18;52.72727272727272;94.73684210526315;96.66666666666667;40.909090909090914;63.51351351351351;73.73205741626793;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S19;63.63636363636363;73.68421052631578;87.5;41.17647058823529;66.21621621621621;68.6602870813397;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S2;52.72727272727272;94.73684210526315;96.66666666666667;40.909090909090914;63.51351351351351;73.73205741626793;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S20;61.81818181818181;94.73684210526315;97.14285714285714;46.15384615384615;70.27027027027027;78.27751196172248;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S21;45.45454545454545;100;100;38.775510204081634;59.45945945945946;72.72727272727273;0;0;0;0;0;0;0;0;0;0;0;0
HECKTOR-2H-Hinton-S22;58.18181818181818;78.94736842105263;88.88888888888889;39.473684210526315;63.51351351351351;68.56459330143541;0;0;0;0;0;0;0;0;0;0;0;0
