Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
Prostate-3H-Block-S1;82.35294117647058;27.27272727272727;63.63636363636363;50;60.71428571428571;54.81283422459893;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S10;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S100;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S101;5.88235294117647;100;99.99999999999997;40.74074074074074;42.857142857142854;52.94117647058824;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S102;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S103;23.52941176470588;100;100;45.83333333333333;53.57142857142857;61.76470588235294;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S104;88.23529411764706;9.090909090909092;60;33.33333333333333;57.14285714285714;48.663101604278076;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S105;82.35294117647058;72.72727272727273;82.35294117647058;72.72727272727273;78.57142857142857;77.54010695187165;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S106;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S107;35.294117647058826;90.9090909090909;85.71428571428571;47.61904761904761;57.14285714285714;63.101604278074866;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S108;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S109;88.23529411764706;27.27272727272727;65.21739130434783;60;64.28571428571429;57.75401069518716;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S11;100;18.181818181818183;65.38461538461539;100;67.85714285714286;59.09090909090909;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S110;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S111;17.647058823529413;100;100;44;50;58.82352941176471;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S112;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Block-S113;82.35294117647058;18.181818181818183;60.86956521739131;40;57.14285714285714;50.26737967914438;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S114;58.82352941176471;90.9090909090909;90.9090909090909;58.82352941176471;71.42857142857143;74.8663101604278;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S115;94.11764705882352;0;59.25925925925925;0;57.14285714285714;47.05882352941176;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S116;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S117;5.88235294117647;100;99.99999999999997;40.74074074074074;42.857142857142854;52.94117647058824;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S118;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S119;23.52941176470588;100;100;45.83333333333333;53.57142857142857;61.76470588235294;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S12;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S120;88.23529411764706;9.090909090909092;60;33.33333333333333;57.14285714285714;48.663101604278076;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S121;82.35294117647058;72.72727272727273;82.35294117647058;72.72727272727273;78.57142857142857;77.54010695187165;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S122;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S123;35.294117647058826;90.9090909090909;85.71428571428571;47.61904761904761;57.14285714285714;63.101604278074866;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S124;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S125;88.23529411764706;27.27272727272727;65.21739130434783;60;64.28571428571429;57.75401069518716;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S126;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S127;17.647058823529413;100;100;44;50;58.82352941176471;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S128;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Block-S13;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S14;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S15;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S16;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S17;82.35294117647058;27.27272727272727;63.63636363636363;50;60.71428571428571;54.81283422459893;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S18;88.23529411764706;72.72727272727273;83.33333333333334;80;82.14285714285714;80.4812834224599;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S19;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S2;88.23529411764706;72.72727272727273;83.33333333333334;80;82.14285714285714;80.4812834224599;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S20;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S21;17.647058823529413;90.9090909090909;75;41.66666666666667;46.42857142857143;54.278074866310156;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S22;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S23;70.58823529411765;45.45454545454545;66.66666666666666;50;60.71428571428571;58.02139037433155;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S24;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Block-S25;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S26;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S27;100;18.181818181818183;65.38461538461539;100;67.85714285714286;59.09090909090909;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S28;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S29;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S3;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S30;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S31;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S32;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S33;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S34;64.70588235294117;90.9090909090909;91.66666666666666;62.5;75;77.80748663101605;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S35;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S36;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S37;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S38;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S39;70.58823529411765;45.45454545454545;66.66666666666666;50;60.71428571428571;58.02139037433155;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S4;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S40;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Block-S41;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S42;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S43;100;18.181818181818183;65.38461538461539;100;67.85714285714286;59.09090909090909;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S44;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S45;52.94117647058824;72.72727272727273;75;50;60.71428571428571;62.83422459893049;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S46;29.411764705882355;81.81818181818183;71.42857142857143;42.857142857142854;50;55.61497326203209;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S47;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S48;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S49;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S5;17.647058823529413;90.9090909090909;75;41.66666666666667;46.42857142857143;54.278074866310156;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S50;64.70588235294117;90.9090909090909;91.66666666666666;62.5;75;77.80748663101605;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S51;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S52;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S53;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S54;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S55;70.58823529411765;45.45454545454545;66.66666666666666;50;60.71428571428571;58.02139037433155;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S56;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Block-S57;76.47058823529412;72.72727272727273;81.25;66.66666666666666;75;74.59893048128342;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S58;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S59;100;18.181818181818183;65.38461538461539;100;67.85714285714286;59.09090909090909;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S6;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S60;58.82352941176471;72.72727272727273;76.92307692307693;53.333333333333336;64.28571428571429;65.77540106951871;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S61;52.94117647058824;72.72727272727273;75;50;60.71428571428571;62.83422459893049;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S62;29.411764705882355;81.81818181818183;71.42857142857143;42.857142857142854;50;55.61497326203209;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Block-S63;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Block-S64;82.35294117647058;54.54545454545454;73.68421052631578;66.66666666666666;71.42857142857143;68.44919786096256;0;0;0;0;0;0;0;0;0;0;0;0
