Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
Prostate-3H-Hinton-S1;70.58823529411765;72.72727272727273;80;61.53846153846154;71.42857142857143;71.65775401069519;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S10;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S100;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S101;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S102;64.70588235294117;18.181818181818183;55.00000000000001;25;46.42857142857143;41.44385026737968;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S103;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S104;41.17647058823529;81.81818181818183;77.77777777777779;47.368421052631575;57.14285714285714;61.49732620320856;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S105;88.23529411764706;54.54545454545454;75;75;75;71.3903743315508;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S106;88.23529411764706;54.54545454545454;75;75;75;71.3903743315508;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S107;23.52941176470588;100;100;45.83333333333333;53.57142857142857;61.76470588235294;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S108;64.70588235294117;81.81818181818183;84.61538461538461;60;71.42857142857143;73.2620320855615;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S109;17.647058823529413;90.9090909090909;75;41.66666666666667;46.42857142857143;54.278074866310156;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S11;82.35294117647058;63.63636363636363;77.77777777777779;70;75;72.99465240641712;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S110;64.70588235294117;81.81818181818183;84.61538461538461;60;71.42857142857143;73.2620320855615;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S111;88.23529411764706;0;57.692307692307686;0;53.57142857142857;44.11764705882353;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S112;94.11764705882352;0;59.25925925925925;0;57.14285714285714;47.05882352941176;0;0;0;0;0;0;0;NA;0;NA;0;0
